created_in_catalog,id,rating,company_id,company_name,company_code,region,city,street,housenumber,answer_response_time
2024-09-25,354202992,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,1719.581583
2024-09-25,355298600,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,119887.612445
2024-09-25,354193143,1.0,1235439,ЭТМ,4,Приморский край,Владивосток,улица Заречная,35,
2024-09-25,354160413,5.0,1099082,ЭТМ,ETM133110,Удмуртия,Ижевск,Маяковского,21,738.661953
2024-09-25,355298602,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,119166.001894
2024-09-25,355284587,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,133377.162869
2024-09-25,355284590,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,133281.874713
2024-09-25,355284591,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,134346.372565
2024-09-25,355291458,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,127178.132343
2024-09-25,354161204,5.0,1099135,ЭТМ,ETM1391,Ханты-Мансийский автономный округ,Сургут,Комплектовочная,5,433.176178
2024-09-25,355291459,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,126960.277812
2024-09-25,354681161,5.0,1235445,ЭТМ,11,Краснодарский край,Краснодар,Московская,69/9,53794.643872
2024-09-25,355291461,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,127222.036552
2024-09-25,355291463,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,126459.272417
2024-09-25,354150682,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,3984.237753
2024-09-25,355284594,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,133517.920707
2024-09-25,354150683,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,4031.647347
2024-09-25,354118842,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,7900.110898
2024-09-25,354118843,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,8128.105362
2024-09-25,355284588,1.0,1099155,ЭТМ,ETM11128,Челябинская область,Челябинск,проспект Победы,227,
2024-09-25,354105510,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,10113.657768
2024-09-25,354089303,1.0,1099038,ЭТМ,ETM19120,Пермский край,Пермь,Трамвайная улица,33к6,188838.268064
2024-09-25,355291465,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,450008.801511
2024-09-25,354089939,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,314.641358
2024-09-25,354089940,3.0,1099154,ЭТМ,ETM11110,Челябинская область,Челябинск,Рылеева,16а,188631.407471
2024-09-25,354089941,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,269.647764
2024-09-25,354089942,5.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,213.597047
2024-09-25,355284595,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,129020.103261
2024-09-25,355284597,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,525634.14736
2024-09-25,355284592,5.0,1235446,ЭТМ,12,Краснодарский край,Краснодар,улица Бородинская,150,131453.880808
2024-09-25,354024773,5.0,1099113,ЭТМ,ETM21120,Татарстан,Казань,улица Фатыха Амирхана,101,1441.180612
2024-09-25,354024776,5.0,1099113,ЭТМ,ETM21120,Татарстан,Казань,улица Фатыха Амирхана,101,1467.976232
2024-09-25,354020265,5.0,1099066,ЭТМ,ETM12280,Москва,Москва,улица Щербаковская,20,
